M,N,alpha,mse_x,mse_z,mx,mz,overlap_x,overlap_z,r0,replicate,tau_x,tau_z,v0,v_noise,vx,vz
10,1000,0.01,0.10976076254501921,0.9378552310844432,0.9161488127058334,0.009088991158203719,0.7873139474787323,0.007652333014574433,0,0,1.0070387242878704,1,1,0.1,0.09088991158203712,0.9909110088417963
10,1000,0.01,0.04610923939495372,1.020864868068721,0.9049771902991808,0.009081838343308002,0.5221953973826916,0.005343069503750193,0,1,0.9957955737322607,1,1,0.1,0.09081838343307996,0.990918161656692
10,1000,0.01,0.08980811493052394,1.0519383180953001,0.9021542267938703,0.009074900783693107,0.8988006285477296,0.008573691431491543,0,2,0.9929032346308008,1,1,0.1,0.09074900783693056,0.9909250992163069
10,1000,0.01,0.039773376425651,0.9716025011489948,0.9257119037434051,0.0090948647366067,0.7235985385142081,0.007958487726403377,0,3,1.016660551109472,1,1,0.1,0.09094864736606693,0.9909051352633933
10,1000,0.01,0.06887378653669642,1.0125061866546157,0.9219292232938898,0.009093182891923957,1.2963813248575922,0.013598258968022562,0,4,1.0128610522131294,1,1,0.1,0.09093182891923954,0.990906817108076
10,1000,0.01,0.11329728432389026,0.9689688576104584,0.906877188556301,0.009081126664369443,1.134199455361452,0.010898311105017764,0,5,0.9976884551999958,1,1,0.1,0.09081126664369485,0.9909188733356306
10,1000,0.01,0.15988910750205393,0.9763424048942423,0.8943114161045121,0.00907134875816018,1.008001336366946,0.010411162014425,0,6,0.9850249036861143,1,1,0.1,0.09071348758160215,0.9909286512418398
10,1000,0.01,0.06313411246784176,0.954515735549611,0.9137692045762744,0.009086764610991893,1.0396265151321935,0.01077961636790478,0,7,1.0046368506861936,1,1,0.1,0.09086764610991918,0.9909132353890081
10,1000,0.01,0.10247759580815045,0.9708110280372994,0.9030204774116436,0.009078319329982376,0.9412120906292036,0.009209278609264867,0,8,0.9938036707114669,1,1,0.1,0.09078319329982329,0.9909216806700176
10,1000,0.01,0.04950792044062311,0.9852196715885682,0.9171368712353603,0.009088192965978736,1.268234609677344,0.012052383864772708,0,9,1.0080188008951474,1,1,0.1,0.0908819296597872,0.9909118070340213
10,1000,0.01,0.062223934426227145,1.036198606036945,0.8860397174482362,0.009061953680997492,0.7490187025576193,0.00746173994587302,0,10,0.9766592542582113,1,1,0.1,0.09061953680997517,0.9909380463190025
