N,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,p_pos,prior_type,rho,var_noise
1000,0.010846126187431245,0.009900990099009901,0.009900990099009901,2,2,,gaussian,,0.01
1000,0.01270960156182312,0.01192402811266192,0.01192402811266192,2,2,,gaussian,,0.012067926406393288
1000,0.014817582550640043,0.014354434191214762,0.014354434191214762,2,2,,gaussian,,0.014563484775012436
1000,0.01681960690645321,0.017271556802663283,0.017271556802663283,2,2,,gaussian,,0.017575106248547922
1000,0.02062245565617897,0.02076900841089873,0.02076900841089873,2,2,,gaussian,,0.021209508879201904
1000,0.02356419787985633,0.024956700517329698,0.024956700517329698,2,2,,gaussian,,0.025595479226995357
1000,0.029583382327808702,0.029962927982471098,0.029962927982471098,2,2,,gaussian,,0.030888435964774818
1000,0.034946890386596166,0.035936375140117556,0.035936375140117556,2,2,,gaussian,,0.0372759372031494
1000,0.041346552300216395,0.04304784822198814,0.04304784822198814,2,2,,gaussian,,0.04498432668969444
1000,0.05323973925206387,0.05149145065801535,0.05149145065801535,2,2,,gaussian,,0.054286754393238594
1000,0.06355544044511868,0.06148481018915466,0.06148481018915466,2,2,,gaussian,,0.0655128556859551
1000,0.07471101824609731,0.07326784465124854,0.07326784465124854,2,2,,gaussian,,0.07906043210907697
1000,0.0864225177287525,0.08709943038290072,0.08709943038290072,2,2,,gaussian,,0.09540954763499938
1000,0.10507939266485435,0.10325123969651298,0.10325123969651298,2,2,,gaussian,,0.1151395399326447
1000,0.11376408091249127,0.1219979844638073,0.1219979844638073,2,2,,gaussian,,0.13894954943731375
1000,0.1422647135591422,0.14360340221403883,0.14360340221403883,2,2,,gaussian,,0.16768329368110074
1000,0.1658677583281927,0.16830162264461648,0.16830162264461648,2,2,,gaussian,,0.20235896477251566
1000,0.1894185289985574,0.19627412582081086,0.19627412582081086,2,2,,gaussian,,0.2442053094548651
1000,0.20797157064810706,0.22762338254746892,0.22762338254746892,2,2,,gaussian,,0.29470517025518095
1000,0.25612418311004953,0.26234540425589076,0.26234540425589076,2,2,,gaussian,,0.35564803062231287
1000,0.31166705090088387,0.300304646103942,0.300304646103942,2,2,,gaussian,,0.42919342601287763
1000,0.3247162857044749,0.34121567370956823,0.34121567370956823,2,2,,gaussian,,0.517947467923121
1000,0.3901297140290398,0.3846362852176537,0.3846362852176537,2,2,,gaussian,,0.6250551925273969
1000,0.44668755318989567,0.4299759698453669,0.4299759698453669,2,2,,gaussian,,0.7543120063354615
1000,0.48774143961266825,0.4765215129653763,0.4765215129653763,2,2,,gaussian,,0.9102981779915218
1000,0.5025708573775686,0.5234784870346236,0.5234784870346236,2,2,,gaussian,,1.0985411419875584
1000,0.5643991061079427,0.5700240301546328,0.5700240301546328,2,2,,gaussian,,1.325711365590108
1000,0.5980944780953839,0.6153637147823461,0.6153637147823461,2,2,,gaussian,,1.5998587196060574
1000,0.6517780712611569,0.6587843262904316,0.6587843262904316,2,2,,gaussian,,1.9306977288832496
1000,0.638615229615716,0.699695353896058,0.699695353896058,2,2,,gaussian,,2.329951810515372
1000,0.7818112311885109,0.7376545957441091,0.7376545957441091,2,2,,gaussian,,2.811768697974228
1000,0.7808359295078524,0.7723766174525308,0.7723766174525308,2,2,,gaussian,,3.3932217718953264
1000,0.8015612253723463,0.8037258741791891,0.8037258741791891,2,2,,gaussian,,4.094915062380423
1000,0.8200977746347924,0.8316983773553835,0.8316983773553835,2,2,,gaussian,,4.941713361323833
1000,0.8351901414673455,0.8563965977859611,0.8563965977859611,2,2,,gaussian,,5.963623316594643
1000,0.8636456244040221,0.8780020155361926,0.8780020155361926,2,2,,gaussian,,7.196856730011514
1000,0.8720866541277885,0.8967487603034868,0.8967487603034868,2,2,,gaussian,,8.68511373751352
1000,0.9525709560037082,0.9129005696170993,0.9129005696170993,2,2,,gaussian,,10.481131341546853
1000,0.9251392043887767,0.9267321553487513,0.9267321553487513,2,2,,gaussian,,12.648552168552959
1000,0.9639499786929553,0.9385151898108453,0.9385151898108453,2,2,,gaussian,,15.264179671752318
1000,0.9622211806400001,0.9485085493419847,0.9485085493419847,2,2,,gaussian,,18.420699693267146
1000,0.9218923657794904,0.9569521517780117,0.9569521517780117,2,2,,gaussian,,22.229964825261934
1000,0.9356899600255948,0.9640636248598824,0.9640636248598824,2,2,,gaussian,,26.826957952797247
1000,1.0219862465593361,0.970037072017529,0.970037072017529,2,2,,gaussian,,32.374575428176435
1000,0.9401876345218996,0.9750432994826702,0.9750432994826702,2,2,,gaussian,,39.06939937054613
1000,1.0505620991190205,0.9792309915891012,0.9792309915891012,2,2,,gaussian,,47.1486636345739
1000,1.0129594099178765,0.9827284431973368,0.9827284431973368,2,2,,gaussian,,56.89866029018293
1000,0.9839204908060663,0.9856455658087853,0.9856455658087853,2,2,,gaussian,,68.66488450042998
1000,0.9431071303047902,0.9880759718873382,0.9880759718873382,2,2,,gaussian,,82.86427728546842
1000,1.0667836715741075,0.9900990099009901,0.9900990099009901,2,2,,gaussian,,100.0
1000,0.0,1e-20,1e-20,2,2,0.25,binary,,0.01
1000,0.0,1e-20,1e-20,2,2,0.5,binary,,0.01
1000,0.0,1e-20,1.113913831951e-19,2,2,0.25,binary,,0.012067926406393288
1000,0.0,1e-20,1.1710796369770826e-19,2,2,0.5,binary,,0.012067926406393288
1000,0.0,1e-20,9.676695183010509e-17,2,2,0.25,binary,,0.014563484775012436
1000,0.0,1e-20,7.228413830166252e-17,2,2,0.5,binary,,0.014563484775012436
1000,0.0,1e-20,2.7506372330560617e-14,2,2,0.25,binary,,0.017575106248547922
1000,0.0,1e-20,2.668021601275133e-14,2,2,0.5,binary,,0.017575106248547922
