N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,p_pos
1000,0.06,gaussian,0.7288893744970728,0.7218235574307537,0.7241585804204309,2,4,0.25
1000,0.12,gaussian,0.7222970867437218,0.6984923779321436,0.6980672832714365,2,4,0.25
1000,0.18,gaussian,0.6582651060793484,0.6679070255443789,0.6717327493696533,2,4,0.25
1000,0.24,gaussian,0.6473558210512984,0.6465932789449228,0.6454657640268159,2,5,0.25
1000,0.3,gaussian,0.6325560305980257,0.6177533056850475,0.6190990969138412,2,5,0.25
1000,0.36,gaussian,0.6272665376479752,0.5984694799764818,0.5927199416323036,2,5,0.25
1000,0.42,gaussian,0.5585393256009813,0.5651324134830491,0.566514820612887,4,6,0.25
1000,0.48,gaussian,0.5591728286164092,0.5371335615237571,0.5401038474775745,2,6,0.25
1000,0.54,gaussian,0.5165650108447507,0.5066186348035567,0.5138231627794028,2,7,0.25
1000,0.6,gaussian,0.5250760538141367,0.49074859406330035,0.48731164193450693,5,7,0.25
1000,0.6599999999999999,gaussian,0.4572746516509433,0.46512877857399887,0.4617065243135938,5,8,0.25
1000,0.72,gaussian,0.44416031275240425,0.4524686234165503,0.43500149021432416,5,8,0.25
1000,0.78,gaussian,0.3941300231916863,0.39697612769248475,0.40862511784454497,3,9,0.25
1000,0.84,gaussian,0.39560485386966415,0.3917323538224929,0.3822296082695997,5,9,0.25
1000,0.8999999999999999,gaussian,0.38622903268614317,0.3598936888511761,0.3559151357351981,5,10,0.25
1000,0.96,gaussian,0.36737128617900466,0.32094738046114724,0.3284724297701244,4,11,0.25
1000,1.02,gaussian,0.3185927671053771,0.324458452878592,0.3016215535928462,3,12,0.25
1000,1.08,gaussian,0.2847514793595666,0.27461198750672383,0.2739320014152833,6,14,0.25
1000,1.14,gaussian,0.19683544874566314,0.23814765791808068,0.24497623443144628,6,16,0.25
1000,1.2,gaussian,0.16975076123423158,0.15361841436079401,0.21522752063095002,15,19,0.25
1000,1.26,gaussian,0.17310853246861688,0.19183921816906782,0.18223107837408614,5,24,0.25
1000,1.3199999999999998,gaussian,0.13700663392482426,0.11641989294001331,0.14483710502943364,12,35,0.25
1000,1.38,gaussian,0.10269822752868338,0.053978047035803216,1.3106911692651127e-08,10,41,0.25
1000,1.44,gaussian,1.2023800828086633e-15,4.121278999164056e-09,2.4226103435812267e-20,16,18,0.25
1000,1.5,gaussian,0.1148256236793607,0.029793817741667387,2.1244454842709822e-10,13,13,0.25
1000,1.56,gaussian,5.322129389920483e-27,7.184697281560584e-15,9.756823081974125e-17,11,11,0.25
1000,1.6199999999999999,gaussian,5.108349138658911e-19,6.844804488365777e-11,9.212483310675534e-06,8,9,0.25
1000,1.68,gaussian,1.2259527090668371e-29,1e-20,1.8136306080323793e-05,9,8,0.25
1000,1.74,gaussian,1.1815866787191416e-29,1.0000000000000004e-20,2.4532604027299255e-18,7,8,0.25
1000,1.7999999999999998,gaussian,1.1276889899650804e-29,1.0000000000000007e-20,5.081589788610858e-07,8,7,0.25
1000,1.8599999999999999,gaussian,1.766472009111866e-15,2.6865049767766323e-09,7.641752987424395e-17,6,7,0.25
1000,1.92,gaussian,1.183815210776391e-29,1.0000000000000007e-20,1.252025241503821e-05,7,6,0.25
1000,1.98,gaussian,1.1690622792535937e-29,1e-20,2.6142520928050524e-08,6,6,0.25
1000,2.04,gaussian,1.2300892984385898e-29,1e-20,1.1565378083672192e-14,7,6,0.25
1000,2.1,gaussian,1.2439547614430135e-29,1e-20,1e-20,6,6,0.25
1000,2.16,gaussian,7.89053381858467e-26,3.6312397533520115e-13,1.737971717493004e-05,6,5,0.25
1000,2.2199999999999998,gaussian,1.117251374112875e-29,1e-20,1.0171048258463517e-06,6,5,0.25
1000,2.28,gaussian,3.630061863452455e-21,6.504517370221298e-12,1.5051691171894953e-08,5,5,0.25
1000,2.34,gaussian,1.1858600861541436e-29,1e-20,3.8071489654705174e-11,6,5,0.25
1000,2.4,gaussian,1.2526371617811023e-29,1.0000000000000004e-20,2.9119083587327197e-15,5,5,0.25
1000,2.46,gaussian,1.377862667509116e-29,1e-20,1e-20,5,5,0.25
1000,2.52,gaussian,1.2708660116675297e-29,1e-20,1e-20,5,5,0.25
1000,2.58,gaussian,1.2390564282596567e-29,1.0000000000000004e-20,1e-20,5,5,0.25
1000,2.6399999999999997,gaussian,1.2722970546534072e-29,1e-20,2.0409782779849082e-05,5,4,0.25
1000,2.6999999999999997,gaussian,1.2068031105925971e-29,1e-20,5.568431323463017e-06,4,4,0.25
1000,2.76,gaussian,7.135002466029989e-22,1.9852728351112806e-12,1.3040998354373984e-06,4,4,0.25
1000,2.82,gaussian,1.176833791765185e-29,2.2204460492503146e-19,2.406848776941631e-07,4,4,0.25
1000,2.88,gaussian,7.652124858567256e-18,2.413248801407789e-10,3.4000448446453905e-08,4,4,0.25
1000,2.94,gaussian,1.5323105393949102e-29,2.1160850849355608e-16,3.1669556165477298e-09,4,4,0.25
1000,3.0,gaussian,1.2994634520769558e-29,1.110223024625156e-18,2.1378583403456553e-10,4,4,0.25
1000,0.06,gaussian,0.9647129177964161,0.9623323547217582,0.962296204585672,1,3,0.5
1000,0.12,gaussian,0.9300612222835316,0.9258150887930671,0.9255450878888354,1,4,0.5
1000,0.18,gaussian,0.8852589118121378,0.8885419090295535,0.8893946448424564,2,4,0.5
1000,0.24,gaussian,0.8518939030407716,0.8560688504913885,0.8541569829833724,1,4,0.5
1000,0.3,gaussian,0.7858805672208325,0.8168329879613586,0.8194249695335302,3,4,0.5
1000,0.36,gaussian,0.7883005094800243,0.7799164537495414,0.7852731262041914,2,5,0.5
1000,0.42,gaussian,0.7391781676711197,0.7483045700290147,0.7513656179372598,2,5,0.5
1000,0.48,gaussian,0.6998589420051673,0.7051254557876004,0.718383015735208,2,5,0.5
1000,0.54,gaussian,0.7048355331327703,0.6775065644588298,0.6849934166462034,2,6,0.5
1000,0.6,gaussian,0.6440773887720785,0.6554172348187817,0.6527404277441786,3,6,0.5
1000,0.6599999999999999,gaussian,0.6263324553070281,0.6274458897665391,0.6202937285331318,2,6,0.5
1000,0.72,gaussian,0.5822373454729345,0.5789663652661254,0.5880322258180031,2,7,0.5
1000,0.78,gaussian,0.5580351043122094,0.5657589862235052,0.5561566367487313,4,7,0.5
1000,0.84,gaussian,0.5059085282822621,0.5226551299053753,0.5239260881317718,3,8,0.5
