N,alpha,ensemble_type,mean_prior,mse,mse_ep,mse_se,n_iter_ep,n_iter_se
1000,0.020202020202020204,gaussian,-1.0,1.0478443296866522,0.985374349787641,0.9900630389798162,1,5
1000,0.04040404040404041,gaussian,-1.0,1.0178268036439635,0.9948185465756182,0.9799894355844699,2,5
1000,0.06060606060606061,gaussian,-1.0,1.0109487956336403,0.9770748464234426,0.9697460271352294,1,6
1000,0.08080808080808081,gaussian,-1.0,0.9056357751636452,0.9587722129964018,0.9594241510177645,2,6
1000,0.10101010101010102,gaussian,-1.0,0.9589775290421221,0.9401705760767939,0.9483293453258115,4,6
1000,0.12121212121212122,gaussian,-1.0,0.9252472051731955,0.9416463073602576,0.9376234589306544,3,7
1000,0.14141414141414144,gaussian,-1.0,0.9608094973703604,0.9206035610153745,0.9267472940028967,3,7
1000,0.16161616161616163,gaussian,-1.0,0.8212975392696998,0.9028483272785165,0.9157763736006147,2,7
1000,0.18181818181818182,gaussian,-1.0,0.9627093413799207,0.9132532925724464,0.904648099769231,5,7
1000,0.20202020202020204,gaussian,-1.0,0.8517458827912258,0.8922210502466752,0.8927138551644589,1,8
1000,0.22222222222222224,gaussian,-1.0,0.9127445983605839,0.8648492465385369,0.8812226190299141,6,8
1000,0.24242424242424243,gaussian,-1.0,0.8512436963813993,0.8690464555682372,0.8695663739683607,3,8
1000,0.26262626262626265,gaussian,-1.0,0.8606517678727771,0.8614199117074545,0.857583562928809,3,9
1000,0.2828282828282829,gaussian,-1.0,0.7896246897965131,0.8283589503680331,0.8457137449125822,5,9
1000,0.30303030303030304,gaussian,-1.0,0.8407081532936236,0.8330753855640161,0.8324670185135538,4,9
1000,0.32323232323232326,gaussian,-1.0,0.7464723369137518,0.8181931598524848,0.8202486578685536,3,9
1000,0.3434343434343435,gaussian,-1.0,0.7887136781290374,0.7950398412243591,0.8078708256423164,9,10
1000,0.36363636363636365,gaussian,-1.0,0.8492884002633165,0.8020373521434933,0.7945887094198198,3,10
1000,0.38383838383838387,gaussian,-1.0,0.7316359811660031,0.7805570814113899,0.7815637333950195,3,10
1000,0.4040404040404041,gaussian,-1.0,0.7701293650076761,0.7780887907853989,0.7676813148705125,6,11
1000,0.42424242424242425,gaussian,-1.0,0.822692256718476,0.760230679703928,0.7542675732586871,7,11
1000,0.4444444444444445,gaussian,-1.0,0.743525949572798,0.7204059210712448,0.7405862934530018,11,11
1000,0.4646464646464647,gaussian,-1.0,0.7634334775539273,0.7007429089947714,0.7263965702895001,20,12
1000,0.48484848484848486,gaussian,-1.0,0.715113826068013,0.6760297725459063,0.7121079009431721,7,12
1000,0.5050505050505051,gaussian,-1.0,0.7591407865468286,0.7170956880820197,0.6972397695013011,5,12
1000,0.5252525252525253,gaussian,-1.0,0.610102677662624,0.6863465952505279,0.6820720238694786,5,13
1000,0.5454545454545455,gaussian,-1.0,0.766717547353891,0.6967997693368012,0.6672210005546184,4,13
1000,0.5656565656565657,gaussian,-1.0,0.720233285629293,0.664762807083462,0.6519018745585794,3,13
1000,0.5858585858585859,gaussian,-1.0,0.6980283212820467,0.6330323202784164,0.6361297608920018,13,14
1000,0.6060606060606061,gaussian,-1.0,0.6009301146880323,0.6179956082599487,0.61969279919566,4,14
1000,0.6262626262626263,gaussian,-1.0,0.5452527873196077,0.5746935061491094,0.6033344031557806,10,15
1000,0.6464646464646465,gaussian,-1.0,0.6478627050931,0.600094582833165,0.5869105271590316,3,15
1000,0.6666666666666667,gaussian,-1.0,0.5979660272811489,0.5613916698239811,0.569901596954419,5,15
1000,0.686868686868687,gaussian,-1.0,0.589561770171924,0.5786070197534927,0.552098191096088,5,16
1000,0.7070707070707072,gaussian,-1.0,0.5544097681178366,0.5595864329784254,0.5343077085461294,7,16
1000,0.7272727272727273,gaussian,-1.0,0.53175864204969,0.5461369472882602,0.5161461824309005,7,17
1000,0.7474747474747475,gaussian,-1.0,0.5067918710775726,0.5065922845739023,0.49615766794534716,10,18
1000,0.7676767676767677,gaussian,-1.0,0.4708320549470768,0.4850285348667747,0.47835683627122283,5,18
1000,0.787878787878788,gaussian,-1.0,0.5516203370844567,0.47264259340144416,0.4592519744126765,6,19
1000,0.8080808080808082,gaussian,-1.0,0.4497327835464384,0.4273443693736702,0.4379317135148324,7,20
1000,0.8282828282828284,gaussian,-1.0,0.3838795689706267,0.4016809791172498,0.4160613927110236,16,21
1000,0.8484848484848485,gaussian,-1.0,0.431304228487068,0.4411048736013127,0.39548706043869564,5,21
1000,0.8686868686868687,gaussian,-1.0,0.3539787098171887,0.34312040885323836,0.3734802306082259,6,23
1000,0.888888888888889,gaussian,-1.0,0.3244825477031291,0.3225310444934335,0.3499303625005218,21,24
1000,0.9090909090909092,gaussian,-1.0,0.2483810470792873,0.311131429896053,0.32560931493000433,11,25
1000,0.9292929292929294,gaussian,-1.0,0.347570217884186,0.3049551845380082,0.29962618999226187,13,27
1000,0.9494949494949496,gaussian,-1.0,0.32215410482234486,0.2705985411291624,0.2735107050353416,7,29
1000,0.9696969696969697,gaussian,-1.0,0.24772767409691523,0.23415175365609356,0.24639071090490594,17,32
1000,0.98989898989899,gaussian,-1.0,0.21942036634370315,0.1981992532620589,0.2138240125084242,8,36
1000,1.0101010101010102,gaussian,-1.0,0.16937810203324336,0.166236893029289,0.1779363783907536,13,42
1000,1.0303030303030305,gaussian,-1.0,0.14014117606222296,0.09293365100069506,0.13780839698361502,15,54
1000,1.0505050505050506,gaussian,-1.0,0.06420088863685147,0.06534372163608371,0.06768888165281806,22,184
1000,1.0707070707070707,gaussian,-1.0,0.05974988083655907,0.0542858155896797,1e-20,15,32
1000,1.090909090909091,gaussian,-1.0,0.05121307295437417,0.03556225164602511,2.55351295663786e-15,20,22
1000,1.1111111111111112,gaussian,-1.0,1.3988737134148776e-21,5.329070518200751e-15,1e-20,28,18
1000,1.1313131313131315,gaussian,-1.0,9.732814464277972e-10,2.628016138039868e-09,1e-20,16,16
1000,1.1515151515151516,gaussian,-1.0,9.015066241456892e-29,1e-20,1.1102230246251565e-16,16,14
1000,1.1717171717171717,gaussian,-1.0,2.1481895187720568e-20,7.438494264988549e-15,1e-20,15,13
1000,1.191919191919192,gaussian,-1.0,7.039962593380545e-29,1e-20,1.2001510896197942e-13,14,12
1000,1.2121212121212122,gaussian,-1.0,2.4491987329029726e-12,1.6023515847507497e-11,1e-20,11,12
1000,1.2323232323232325,gaussian,-1.0,5.853548858659463e-29,1e-20,1e-20,13,11
1000,1.2525252525252526,gaussian,-1.0,5.582179538445892e-29,1e-20,1e-20,12,11
1000,1.272727272727273,gaussian,-1.0,6.940939698875321e-29,1e-20,2.220446049250313e-16,11,10
1000,1.292929292929293,gaussian,-1.0,5.869197640088203e-29,1e-20,1e-20,11,10
1000,1.3131313131313131,gaussian,-1.0,5.803396473507031e-29,1e-20,1e-20,11,10
1000,1.3333333333333335,gaussian,-1.0,5.633465412890437e-29,1e-20,1.4288570326925765e-13,11,9
1000,1.3535353535353536,gaussian,-1.0,5.659950208886035e-29,1e-20,1e-20,10,9
1000,1.373737373737374,gaussian,-1.0,2.279649714941062e-12,1.7310486377652978e-11,1e-20,9,9
1000,1.393939393939394,gaussian,-1.0,8.5010955298034e-13,4.0901837472517855e-11,1e-20,10,9
1000,1.4141414141414144,gaussian,-1.0,4.7953650905735265e-29,1e-20,1e-20,10,9
1000,1.4343434343434345,gaussian,-1.0,4.8904759561292475e-29,1e-20,1.527999948791603e-12,9,8
1000,1.4545454545454546,gaussian,-1.0,7.511821222904512e-11,2.158269118979206e-10,1e-20,9,8
1000,1.474747474747475,gaussian,-1.0,1.350977181154269e-09,1.4217005350758427e-09,1e-20,9,8
1000,1.494949494949495,gaussian,-1.0,1.3903129543907166e-11,1.8128942791406644e-11,1e-20,9,8
1000,1.5151515151515154,gaussian,-1.0,5.717863951482573e-29,1e-20,1e-20,9,8
1000,1.5353535353535355,gaussian,-1.0,1.3569355583676574e-10,4.825853050505202e-10,1e-20,8,8
1000,1.5555555555555556,gaussian,-1.0,3.283326639308631e-12,6.009848174670651e-11,1e-20,8,8
1000,1.575757575757576,gaussian,-1.0,5.553692080151433e-29,1e-20,1e-20,9,8
1000,1.595959595959596,gaussian,-1.0,6.153884633708052e-16,2.562505763137324e-12,1e-20,8,8
1000,1.6161616161616164,gaussian,-1.0,7.01229259947004e-14,6.905587213168474e-14,9.587886040662852e-13,8,7
1000,1.6363636363636365,gaussian,-1.0,5.0152623871448334e-29,1e-20,1.6653345369377348e-15,9,7
1000,1.6565656565656568,gaussian,-1.0,8.441897432245732e-11,1.3714440694201357e-10,1e-20,8,7
1000,1.676767676767677,gaussian,-1.0,4.617948655513796e-29,1e-20,1e-20,9,7
1000,1.696969696969697,gaussian,-1.0,5.239838819891216e-29,1e-20,1e-20,8,7
1000,1.7171717171717173,gaussian,-1.0,5.358312307734892e-29,1e-20,1e-20,8,7
1000,1.7373737373737375,gaussian,-1.0,5.3599711704588345e-22,2.220446049250313e-16,1e-20,8,7
1000,1.7575757575757578,gaussian,-1.0,6.589729921454315e-11,1.164435214917603e-10,1e-20,7,7
1000,1.777777777777778,gaussian,-1.0,4.684618770704546e-29,1e-20,1e-20,8,7
1000,1.7979797979797982,gaussian,-1.0,3.9827720728029497e-29,1e-20,1e-20,8,7
1000,1.8181818181818183,gaussian,-1.0,4.7431959489214566e-29,1e-20,1e-20,8,7
1000,1.8383838383838385,gaussian,-1.0,6.259252544774698e-11,1.1401879440597896e-10,1e-20,7,7
1000,1.8585858585858588,gaussian,-1.0,4.996865990930242e-11,8.494793757307662e-11,1e-20,7,7
1000,1.878787878787879,gaussian,-1.0,5.489392988357855e-10,2.5945590120812767e-10,1e-20,7,7
1000,1.8989898989898992,gaussian,-1.0,3.5286158861636375e-11,8.086198377554865e-11,1e-20,7,7
1000,1.9191919191919193,gaussian,-1.0,3.5371599854686834e-12,1.8763324227677458e-11,1e-20,7,7
1000,1.9393939393939394,gaussian,-1.0,4.2138435305150834e-17,5.657696533489798e-13,1e-20,7,7
1000,1.9595959595959598,gaussian,-1.0,1.3145274754660642e-18,2.55351295663786e-14,1e-20,7,7
1000,1.97979797979798,gaussian,-1.0,7.390923623230773e-12,1.2273182470323718e-11,5.422329252269265e-13,7,6
1000,2.0,gaussian,-1.0,1.7059894834103217e-11,2.950450994632092e-11,3.2307490016592055e-14,7,6
1000,0.020202020202020204,gaussian,0.5,0.9601413175756149,0.9952045190326768,0.9948268301799533,1,5
1000,0.04040404040404041,gaussian,0.5,1.0087252622621699,0.9898037165209013,0.9894748004721118,3,5
1000,0.06060606060606061,gaussian,0.5,1.006036946402756,0.9767781651325386,0.983928154233364,4,6
1000,0.08080808080808081,gaussian,0.5,0.9464633741999828,0.9841270318911166,0.9783308135306802,2,6
1000,0.10101010101010102,gaussian,0.5,0.9907009886706135,0.9627547584491231,0.9720932368114038,6,7
1000,0.12121212121212122,gaussian,0.5,0.9597971242013863,0.9735306640340031,0.9661373030337893,2,7
1000,0.14141414141414144,gaussian,0.5,0.9258674826093232,0.9582138521012167,0.9598457013121273,1,8
1000,0.16161616161616163,gaussian,0.5,0.9758251489608498,0.9540551942897105,0.9532117513530932,2,8
1000,0.18181818181818182,gaussian,0.5,0.898444423778883,0.9539521863292562,0.9467232761758736,2,9
1000,0.20202020202020204,gaussian,0.5,0.982764786040378,0.9491722722919245,0.939505866968867,11,9
1000,0.22222222222222224,gaussian,0.5,0.9358365884357416,0.927121593627631,0.9322396324868311,4,9
1000,0.24242424242424243,gaussian,0.5,0.9138689743534113,0.9134308221772648,0.9252346255302144,8,10
1000,0.26262626262626265,gaussian,0.5,0.9548903234210793,0.9085854099114499,0.9176865095882546,26,10
1000,0.2828282828282829,gaussian,0.5,0.9321330233566212,0.911217694897468,0.9097062970282488,2,11
1000,0.30303030303030304,gaussian,0.5,0.8557921278663355,0.8880145325468267,0.9011740534913504,1,11
1000,0.32323232323232326,gaussian,0.5,0.9012442205758882,0.8851168474952128,0.89318872089492,4,11
1000,0.3434343434343435,gaussian,0.5,0.9040210457156584,0.850648196066894,0.8845340786308398,7,12
1000,0.36363636363636365,gaussian,0.5,0.9018937642208222,0.8673184739270474,0.8754118223297686,27,12
1000,0.38383838383838387,gaussian,0.5,0.8472655725362364,0.8540408946340059,0.8665684462425035,7,13
1000,0.4040404040404041,gaussian,0.5,0.8394598739502477,0.8587895892859191,0.8562476087171056,4,13
1000,0.42424242424242425,gaussian,0.5,0.816377163974479,0.8239631079799543,0.8472653879143437,5,13
1000,0.4444444444444445,gaussian,0.5,0.8646436240232833,0.8546861503621437,0.8366909819895761,3,14
1000,0.4646464646464647,gaussian,0.5,0.8666828961722779,0.8338640220946818,0.825868818947818,6,15
1000,0.48484848484848486,gaussian,0.5,0.8542188245512483,0.7911568821249526,0.8156053187679961,12,15
1000,0.5050505050505051,gaussian,0.5,0.8415547746881726,0.8356427303282818,0.8038951508721618,2,15
1000,0.5252525252525253,gaussian,0.5,0.8252454726174199,0.7816959193341425,0.792202583826887,7,16
1000,0.5454545454545455,gaussian,0.5,0.7592693689666641,0.7401588314241039,0.7808036661908344,11,16
1000,0.5656565656565657,gaussian,0.5,0.7246332726609606,0.7461850486389996,0.7684399359705338,6,17
1000,0.5858585858585859,gaussian,0.5,0.921333054907155,0.7912472123269602,0.7558578848217177,4,17
1000,0.6060606060606061,gaussian,0.5,0.7788249290490462,0.7657629088593367,0.7415335387161894,5,18
1000,0.6262626262626263,gaussian,0.5,0.7082865003746265,0.7326090387618956,0.7285657024893071,4,19
1000,0.6464646464646465,gaussian,0.5,0.7190445039849083,0.7240286243178546,0.713619715075386,6,19
1000,0.6666666666666667,gaussian,0.5,0.6913283799786469,0.7283539072594651,0.6997116304271089,4,20
1000,0.686868686868687,gaussian,0.5,0.7235027925093167,0.6755343810082544,0.6851236684265867,7,20
1000,0.7070707070707072,gaussian,0.5,0.6792038709935753,0.6839732197305994,0.6685341301875665,7,21
1000,0.7272727272727273,gaussian,0.5,0.845382623569897,0.6631098715422318,0.6529230008247797,7,22
1000,0.7474747474747475,gaussian,0.5,0.7753747227197805,0.7249713090555009,0.6361338889276613,5,23
1000,0.7676767676767677,gaussian,0.5,0.5172598857613899,0.6009203633452301,0.6190617395967847,6,23
1000,0.787878787878788,gaussian,0.5,0.6422238472932394,0.6531597557803773,0.6013797872324803,4,24
1000,0.8080808080808082,gaussian,0.5,0.6804718246904495,0.5947462386824415,0.5820180480244174,6,25
1000,0.8282828282828284,gaussian,0.5,0.5160053773586428,0.5419588621010707,0.5630502201460188,9,26
1000,0.8484848484848485,gaussian,0.5,0.4831655213419956,0.47813989301672544,0.540227799108619,11,27
1000,0.8686868686868687,gaussian,0.5,0.6714546438264192,0.4933814779229336,0.5210171318710453,14,28
1000,0.888888888888889,gaussian,0.5,0.5295899227558547,0.5207506062260444,0.497717665551908,9,30
1000,0.9090909090909092,gaussian,0.5,0.4258087654524827,0.4487509800423168,0.47470850721614033,12,31
1000,0.9292929292929294,gaussian,0.5,0.42791923943232707,0.3885041924787551,0.4497087827567587,10,32
1000,0.9494949494949496,gaussian,0.5,0.36490717791934457,0.36823060402496344,0.42296859209335436,26,35
1000,0.9696969696969697,gaussian,0.5,0.5519657805367411,0.5134691192225143,0.39727621339533925,7,37
1000,0.98989898989899,gaussian,0.5,0.33946904591428617,0.37485865560807496,0.36736585869479343,22,40
1000,1.0101010101010102,gaussian,0.5,0.3035402004898038,0.31329537272969066,0.3342497172947797,12,44
1000,1.0303030303030305,gaussian,0.5,0.4756899770082131,0.4013030667807282,0.30146988654869433,6,49
1000,1.0505050505050506,gaussian,0.5,0.3066071985562834,0.28786899139181077,0.2621795774098006,10,56
1000,1.0707070707070707,gaussian,0.5,0.30708547242319856,0.29280286053819526,0.21391024616850451,13,71
1000,1.090909090909091,gaussian,0.5,0.1598872631196262,0.1326392840223959,0.1368667540873597,17,160
1000,1.1111111111111112,gaussian,0.5,0.12340644205077878,0.10265250385790681,1e-20,21,43
1000,1.1313131313131315,gaussian,0.5,0.16330289988604596,0.1288437881126554,1e-20,17,30
1000,1.1515151515151516,gaussian,0.5,5.977293297759898e-29,1e-20,1e-20,25,25
1000,1.1717171717171717,gaussian,0.5,3.0954173701783627e-28,1e-20,1e-20,19,21
1000,1.191919191919192,gaussian,0.5,4.341179535714292e-29,1e-20,1e-20,23,19
1000,1.2121212121212122,gaussian,0.5,4.7222869416770317e-29,1e-20,1.1970424651508438e-12,19,17
1000,1.2323232323232325,gaussian,0.5,3.874012657242976e-12,1.9137513795897118e-10,1e-20,15,16
1000,1.2525252525252526,gaussian,0.5,3.8309988586969145e-29,1e-20,1e-20,16,15
1000,1.272727272727273,gaussian,0.5,3.840685207495487e-29,1e-20,1e-20,16,15
1000,1.292929292929293,gaussian,0.5,1.299274142270342e-14,1.0306422382200253e-11,1e-20,14,14
1000,1.3131313131313131,gaussian,0.5,1.757846059375795e-28,1e-20,1e-20,14,13
1000,1.3333333333333335,gaussian,0.5,3.344155557978689e-29,1e-20,1e-20,14,13
1000,1.3535353535353536,gaussian,0.5,1.1179518700662711e-10,3.956568406238148e-10,5.551115123125783e-16,13,12
1000,1.373737373737374,gaussian,0.5,3.5001350267624243e-29,1e-20,1e-20,13,12
1000,1.393939393939394,gaussian,0.5,3.5070108899168135e-29,1e-20,1e-20,13,12
1000,1.4141414141414144,gaussian,0.5,5.03315048353647e-16,3.486100297322992e-12,1.1102230246251565e-16,11,11
1000,1.4343434343434345,gaussian,0.5,2.392327228300634e-10,6.558148468727154e-10,1e-20,11,11
1000,1.4545454545454546,gaussian,0.5,3.023314800729108e-29,1e-20,1e-20,11,11
1000,1.474747474747475,gaussian,0.5,2.4864540299938105e-29,1e-20,1e-20,12,11
1000,1.494949494949495,gaussian,0.5,3.0779546364685765e-11,5.427280846959093e-11,9.547918011776346e-15,11,10
1000,1.5151515151515154,gaussian,0.5,6.183182225223124e-29,1e-20,1e-20,11,10
1000,1.5353535353535355,gaussian,0.5,1.1247324686767808e-10,5.830380622739995e-11,1e-20,10,10
1000,1.5555555555555556,gaussian,0.5,3.411188927090347e-29,1e-20,1e-20,10,10
1000,1.575757575757576,gaussian,0.5,3.244912989846134e-10,7.847529293059097e-10,1e-20,10,10
1000,1.595959595959596,gaussian,0.5,9.925383955746094e-14,4.247713292215849e-13,1e-20,10,10
1000,1.6161616161616164,gaussian,0.5,3.4468417843505616e-29,1e-20,2.69784194983913e-14,10,9
1000,1.6363636363636365,gaussian,0.5,3.976644092073061e-15,1.3550272015550038e-12,1e-20,10,9
1000,1.6565656565656568,gaussian,0.5,3.052565842798844e-29,1e-20,1e-20,10,9
1000,1.676767676767677,gaussian,0.5,3.319225522495625e-29,1e-20,1e-20,10,9
1000,1.696969696969697,gaussian,0.5,2.2611015130805378e-20,5.428990590417015e-14,1e-20,9,9
1000,1.7171717171717173,gaussian,0.5,1.1714601217555648e-12,1.7147394615335543e-12,1e-20,10,9
1000,1.7373737373737375,gaussian,0.5,3.227234345356338e-29,1e-20,1e-20,10,9
1000,1.7575757575757578,gaussian,0.5,4.7558960778970034e-11,1.925249959455755e-10,1e-20,9,9
1000,1.777777777777778,gaussian,0.5,3.044297810557686e-29,1e-20,1e-20,10,9
1000,1.7979797979797982,gaussian,0.5,2.2622321645729046e-14,4.342859405426225e-12,1e-20,9,9
1000,1.8181818181818183,gaussian,0.5,2.838530530627285e-29,1e-20,1.5543122344752192e-15,9,8
1000,1.8383838383838385,gaussian,0.5,5.562129082850778e-12,4.0722647476343354e-11,1e-20,9,8
1000,1.8585858585858588,gaussian,0.5,1.5700461340106213e-10,9.992895400046109e-12,1e-20,9,8
1000,1.878787878787879,gaussian,0.5,1.1125823809020723e-20,1.9984014443252818e-15,1e-20,9,8
1000,1.8989898989898992,gaussian,0.5,5.393889342041819e-20,1.3322676295501878e-15,1e-20,9,8
1000,1.9191919191919193,gaussian,0.5,5.4088809809033635e-11,3.702190776166958e-10,1e-20,8,8
1000,1.9393939393939394,gaussian,0.5,2.5740299322988625e-29,1e-20,1e-20,9,8
1000,1.9595959595959598,gaussian,0.5,9.629749013634405e-10,4.616529380996326e-12,1e-20,9,8
1000,1.97979797979798,gaussian,0.5,5.500382058862479e-10,2.4316326729945104e-10,1e-20,8,8
1000,2.0,gaussian,0.5,2.266987976485174e-18,7.216449660063518e-15,1e-20,9,8
1000,0.020202020202020204,gaussian,1.0,0.9498203357076398,0.986729711952631,0.990071175036935,3,4
1000,0.04040404040404041,gaussian,1.0,1.0394108370251047,0.9792837928707856,0.9799820744411344,1,5
1000,0.06060606060606061,gaussian,1.0,1.0205435240453653,0.9769598876203006,0.9697899498759329,1,5
1000,0.08080808080808081,gaussian,1.0,0.9560385836210966,0.9584437191796348,0.9594569274432976,2,6
1000,0.10101010101010102,gaussian,1.0,0.8982057159341708,0.9434563645190327,0.9483100006882078,9,6
1000,0.12121212121212122,gaussian,1.0,0.9017554679703708,0.929201934990342,0.9375788648943193,3,7
1000,0.14141414141414144,gaussian,1.0,0.9961575730686917,0.9330258396205064,0.9267474352558903,2,7
1000,0.16161616161616163,gaussian,1.0,0.9254222337608716,0.9286840184498178,0.9158427352900026,2,7
1000,0.18181818181818182,gaussian,1.0,0.863336085588121,0.9026206678082973,0.9046472587783807,6,8
1000,0.20202020202020204,gaussian,1.0,0.9688854892961503,0.8875673578627539,0.8927802739374383,16,8
1000,0.22222222222222224,gaussian,1.0,0.8691504198090003,0.8884305123782095,0.8812102475881322,3,8
1000,0.24242424242424243,gaussian,1.0,0.9455305342853073,0.860380885564505,0.8695651582159178,3,8
1000,0.26262626262626265,gaussian,1.0,0.8041908754428894,0.8549258519462369,0.8575620766446219,4,9
1000,0.2828282828282829,gaussian,1.0,0.7711658060521633,0.8381389513495371,0.8454110161205172,2,9
1000,0.30303030303030304,gaussian,1.0,0.852728469808481,0.829054376820158,0.832784861199161,4,9
1000,0.32323232323232326,gaussian,1.0,0.8200504677057084,0.8181192269037832,0.8202170514288581,7,9
1000,0.3434343434343435,gaussian,1.0,0.7615526523813719,0.8197681805526827,0.8076586422882215,7,10
1000,0.36363636363636365,gaussian,1.0,0.8007730679097746,0.8020458989107772,0.7944843908576866,3,10
1000,0.38383838383838387,gaussian,1.0,0.8011292236410313,0.8010011749218864,0.7816080123629012,3,10
1000,0.4040404040404041,gaussian,1.0,0.8362040153733828,0.7860286040883989,0.7677739345054412,5,11
1000,0.42424242424242425,gaussian,1.0,0.742070642309628,0.7777319000201209,0.7539839418726706,3,11
1000,0.4444444444444445,gaussian,1.0,0.7523851388076216,0.7141679027406582,0.7406237557660531,18,11
1000,0.4646464646464647,gaussian,1.0,0.7229654928202736,0.7734771528066886,0.7268957071858113,5,12
1000,0.48484848484848486,gaussian,1.0,0.6542037235478678,0.7242408839621048,0.7123824295795482,4,12
1000,0.5050505050505051,gaussian,1.0,0.686250002766745,0.6979390483512959,0.6969141620722186,6,12
1000,0.5252525252525253,gaussian,1.0,0.665652002752661,0.7013486634111536,0.6824626219369739,3,13
1000,0.5454545454545455,gaussian,1.0,0.7309398476373343,0.6982622154160527,0.667168549101042,3,13
1000,0.5656565656565657,gaussian,1.0,0.6343676821343093,0.6602080644304842,0.6523245322120402,17,13
1000,0.5858585858585859,gaussian,1.0,0.5310027203209192,0.6153797779767547,0.6360560313342721,5,14
1000,0.6060606060606061,gaussian,1.0,0.6059095418349357,0.6205598242870802,0.6191655440258677,7,14
1000,0.6262626262626263,gaussian,1.0,0.5367396604003818,0.5749661496083613,0.6030294900472692,6,15
1000,0.6464646464646465,gaussian,1.0,0.6262986642090222,0.5940254205004759,0.5870228342134804,9,15
1000,0.6666666666666667,gaussian,1.0,0.5972562923851666,0.5746319036940402,0.5694648062505628,23,15
1000,0.686868686868687,gaussian,1.0,0.5149747195791106,0.5331123610179791,0.5524613821650007,22,16
1000,0.7070707070707072,gaussian,1.0,0.4987674269037209,0.5685305072260531,0.5338514225089053,6,16
1000,0.7272727272727273,gaussian,1.0,0.61928031588838,0.5218446451366626,0.5156596786114922,5,17
1000,0.7474747474747475,gaussian,1.0,0.46312351324019346,0.47548899311113113,0.4973841599929737,14,18
1000,0.7676767676767677,gaussian,1.0,0.5139354836730641,0.4586653848839285,0.4784365490753532,9,18
1000,0.787878787878788,gaussian,1.0,0.4062153305701051,0.41580956301618427,0.4593162104502825,14,19
1000,0.8080808080808082,gaussian,1.0,0.4934164240371741,0.4903355507754169,0.4376917014597743,7,20
1000,0.8282828282828284,gaussian,1.0,0.5058583222141037,0.3996902981749264,0.4171139402733577,7,21
1000,0.8484848484848485,gaussian,1.0,0.46523775117571753,0.39816229415001025,0.3959606914913629,26,22
1000,0.8686868686868687,gaussian,1.0,0.38668189807573405,0.36973640640504546,0.37291813501550997,10,23
1000,0.888888888888889,gaussian,1.0,0.41255899637219384,0.3917065042977913,0.3501823160298897,5,24
1000,0.9090909090909092,gaussian,1.0,0.3274518082244498,0.31842600427762513,0.3255155793222253,8,25
1000,0.9292929292929294,gaussian,1.0,0.2834034835494774,0.27670179880598567,0.3004613146047628,20,27
1000,0.9494949494949496,gaussian,1.0,0.3444071919076065,0.27972352091104224,0.2742480579360256,7,29
1000,0.9696969696969697,gaussian,1.0,0.28034320228453924,0.2969721232810123,0.24525110806909986,7,32
1000,0.98989898989899,gaussian,1.0,0.3095782640641064,0.2709167907723039,0.21549575586205363,5,36
