N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,rho,var_noise
1000,0.02040816326530612,gaussian,0.20920709140998456,0.24500002061769363,0.24497366354006597,1,3,0.25,1e-06
1000,0.04081632653061224,gaussian,0.20850016076877617,0.2400000418680008,0.2397961662812405,1,3,0.25,1e-06
1000,0.061224489795918366,gaussian,0.2392633715518587,0.22671293137531187,0.23405949737714393,2,4,0.25,1e-06
1000,0.08163265306122448,gaussian,0.208155316255167,0.21596378859998258,0.2282153651661746,2,4,0.25,1e-06
1000,0.1020408163265306,gaussian,0.21931375716757964,0.21095531729128053,0.22161600746124918,2,5,0.25,1e-06
1000,0.12244897959183673,gaussian,0.242618567704979,0.21950014021328,0.21485756407330633,1,5,0.25,1e-06
1000,0.14285714285714285,gaussian,0.20792422325888307,0.21450016512177714,0.20762246092286044,1,6,0.25,1e-06
1000,0.16326530612244897,gaussian,0.16279572114928262,0.17821705676206176,0.19950703995633978,9,6,0.25,1e-06
1000,0.18367346938775508,gaussian,0.1900321279758741,0.17975886653448211,0.19128261432342886,2,7,0.25,1e-06
1000,0.2040816326530612,gaussian,0.15102019141516176,0.16355201311946516,0.18212545033297883,5,8,0.25,1e-06
1000,0.22448979591836732,gaussian,0.19656349478045468,0.15672739246353082,0.17290336819807162,5,8,0.25,1e-06
1000,0.24489795918367346,gaussian,0.2092208012841038,0.18900032350273055,0.1631820727311556,1,9,0.25,1e-06
1000,0.26530612244897955,gaussian,0.14675281671031284,0.14350049374907461,0.15241706530499505,5,10,0.25,1e-06
1000,0.2857142857142857,gaussian,0.1655723626237707,0.14533757468001052,0.14159982190189957,4,12,0.25,1e-06
1000,0.3061224489795918,gaussian,0.14745013254534825,0.13361408646385137,0.12959079943231058,2,13,0.25,1e-06
1000,0.32653061224489793,gaussian,0.08000048581788637,0.09938921933770871,0.11744301169611503,4,15,0.25,1e-06
1000,0.3469387755102041,gaussian,0.09513750678402795,0.08764709577029037,0.104453035083384,28,18,0.25,1e-06
1000,0.36734693877551017,gaussian,0.09954178024189218,0.10386691975163664,0.08960949977415078,5,22,0.25,1e-06
1000,0.3877551020408163,gaussian,0.0692804342844168,0.0667262448731047,0.07370866608162392,9,28,0.25,1e-06
