N,mse,n_iter_ep,n_iter_se,overlap,p_pos,prior_type,rho,v_ep,v_se,var_noise
1000,0.010144965675097326,2,2,0.9532668253671689,,gaussian,,0.009900990099009901,0.009900990099009901,0.01
1000,0.01148154939609448,2,2,0.949448330822579,,gaussian,,0.01192402811266192,0.01192402811266192,0.012067926406393288
1000,0.01301537640566968,2,2,0.9965379108569155,,gaussian,,0.014354434191214762,0.014354434191214762,0.014563484775012436
1000,0.01719249736083284,2,2,0.9685307628221682,,gaussian,,0.017271556802663283,0.017271556802663283,0.017575106248547922
1000,0.021211531400506432,2,2,0.9743039465204797,,gaussian,,0.02076900841089873,0.02076900841089873,0.021209508879201904
1000,0.024102379248361536,2,2,0.9617898774249541,,gaussian,,0.024956700517329698,0.024956700517329698,0.025595479226995357
1000,0.02945794126427354,2,2,1.0090388342330592,,gaussian,,0.029962927982471098,0.029962927982471098,0.030888435964774818
1000,0.0345530595538347,2,2,0.9998682167753706,,gaussian,,0.035936375140117556,0.035936375140117556,0.0372759372031494
1000,0.04577755863146791,2,2,0.9801149829318545,,gaussian,,0.04304784822198814,0.04304784822198814,0.04498432668969444
1000,0.05441165584393909,2,2,0.9542556851542678,,gaussian,,0.05149145065801535,0.05149145065801535,0.054286754393238594
1000,0.05996885951151626,2,2,0.9272727999481523,,gaussian,,0.06148481018915466,0.06148481018915466,0.0655128556859551
1000,0.07679273086965432,2,2,0.9778599548114439,,gaussian,,0.07326784465124854,0.07326784465124854,0.07906043210907697
1000,0.08748749873810527,2,2,0.8648472294652151,,gaussian,,0.08709943038290072,0.08709943038290072,0.09540954763499938
1000,0.09862385380974868,2,2,0.8683168929253222,,gaussian,,0.10325123969651298,0.10325123969651298,0.1151395399326447
1000,0.12177208091478156,2,2,0.8829531841141828,,gaussian,,0.1219979844638073,0.1219979844638073,0.13894954943731375
1000,0.14290624166329458,2,2,0.7958339666534036,,gaussian,,0.14360340221403883,0.14360340221403883,0.16768329368110074
1000,0.16066802143697642,2,2,0.8834815203498176,,gaussian,,0.16830162264461648,0.16830162264461648,0.20235896477251566
1000,0.1865874765852779,2,2,0.8128292656275484,,gaussian,,0.19627412582081086,0.19627412582081086,0.2442053094548651
1000,0.23256091911398508,2,2,0.7426911259186065,,gaussian,,0.22762338254746892,0.22762338254746892,0.29470517025518095
1000,0.2828228444052874,2,2,0.7265253744570379,,gaussian,,0.26234540425589076,0.26234540425589076,0.35564803062231287
1000,0.29019352115079855,2,2,0.618642015733358,,gaussian,,0.300304646103942,0.300304646103942,0.42919342601287763
1000,0.35869916953848324,2,2,0.6300241027974858,,gaussian,,0.34121567370956823,0.34121567370956823,0.517947467923121
1000,0.37886694440057794,2,2,0.6343830872211573,,gaussian,,0.3846362852176537,0.3846362852176537,0.6250551925273969
